ds,y
2012-10-01,285.2106575234976
2012-11-01,281.7610555555554
2012-12-01,278.55578427419374
2013-01-01,275.1511069220444
2013-02-01,278.97117881944325
2013-03-01,281.2025599462364
2013-04-01,284.1065708333333
2013-05-01,287.0891982526884
2013-06-01,289.70710791666664
2013-07-01,292.4966906362003
2013-08-01,292.69230902777826
2013-09-01,289.5523808333342
2013-10-01,282.66588163082423
2013-11-01,282.08287291666784
2013-12-01,275.123080645161
2014-01-01,278.86999032918516
2014-02-01,277.37279761904756
2014-03-01,281.92986693548414
2014-04-01,283.9824307870373
2014-05-01,288.19615711779795
2014-06-01,288.7512715531622
2014-07-01,294.1634959543736
2014-08-01,293.8088148859247
2014-09-01,290.3053493055555
2014-10-01,285.52951075268817
2014-11-01,278.52097986111113
2014-12-01,277.687799731183
2015-01-01,276.85788306451616
2015-02-01,279.9276235119047
2015-03-01,281.2859529569894
2015-04-01,281.4276371527781
2015-05-01,286.92360483870937
2015-06-01,292.7186194959292
2015-07-01,295.3237333491585
2015-08-01,294.32158507719345
2015-09-01,289.4134234263056
2015-10-01,287.0026315655389
2015-11-01,279.85574179310044
2015-12-01,278.7655966828036
2016-01-01,278.4820708860156
2016-02-01,281.58762888777295
2016-03-01,282.29328894509536
2016-04-01,286.21513372100554
2016-05-01,288.3515004252982
2016-06-01,290.49529537253846
2016-07-01,292.19491328329826
2016-08-01,293.7632723714183
2016-09-01,289.1102991663028
2016-10-01,283.8355105489165
2016-11-01,283.7248725795729
2016-12-01,275.99104252420966
2017-01-01,274.30486962365615
2017-02-01,277.8511904450148
2017-03-01,281.77762440374795
2017-04-01,283.3538605272854
2017-05-01,288.0157258064515
2017-06-01,290.84560436786387
2017-07-01,293.1954407380585
2017-08-01,295.0821344086018
2017-09-01,291.5460950838875
2017-10-01,284.7330268817206
2017-11-01,281.4499611498415
