ds,y
1990-01-01,50.0236559139785
1990-02-01,40.272841444270014
1990-03-01,29.147465437788018
1990-04-01,20.723809523809518
1990-05-01,16.542006380716057
1990-06-01,18.8615873015873
1990-07-01,15.951920122887863
1990-08-01,15.720430107526886
1990-09-01,23.641343101343104
1990-10-01,36.00430107526883
1990-11-01,50.42380952380953
1990-12-01,49.447004608294925
1991-01-01,45.61786600496278
1991-02-01,43.943877551020414
1991-03-01,22.624423963133637
1991-04-01,20.365018315018315
1991-05-01,15.75115207373272
1991-06-01,13.584249084249086
1991-07-01,15.002304147465438
1991-08-01,18.433179723502306
1991-09-01,24.358974358974358
1991-10-01,35.7258064516129
1991-11-01,51.464285714285715
1991-12-01,52.79014533853243
1992-01-01,52.33832565284179
1992-02-01,35.74876847290641
1992-03-01,23.902516838000704
1992-04-01,23.8547619047619
1992-05-01,14.020737327188941
1992-06-01,15.954945054945059
1992-07-01,16.54608294930875
1992-08-01,19.854838709677423
1992-09-01,28.38186813186813
1992-10-01,31.548032612548734
1992-11-01,43.583882783882785
1992-12-01,42.4516129032258
1993-01-01,33.8110599078341
1993-02-01,28.08673469387755
1993-03-01,27.405529953917057
1993-04-01,22.96666666666666
1993-05-01,15.609003899326481
1993-06-01,16.165201465201463
1993-07-01,11.778581633420343
1993-08-01,17.936695025404703
1993-09-01,25.734676434676437
1993-10-01,32.43388869195321
1993-11-01,39.57417582417583
1993-12-01,49.74849344204183
1994-01-01,52.11414392059553
1994-02-01,31.56410256410257
1994-03-01,25.26799007444169
1994-04-01,20.19230769230769
1994-05-01,16.7612548741581
1994-06-01,19.95396825396825
1994-07-01,17.36848635235732
1994-08-01,22.73059198865651
1994-09-01,24.97857142857143
1994-10-01,30.6405529953917
1994-11-01,36.93516483516484
1994-12-01,44.10421836228287
1995-01-01,27.458879829847557
1995-02-01,30.285125588697017
1995-03-01,20.916355150226114
1995-04-01,18.342857142857145
1995-05-01,12.708259482453032
1995-06-01,15.419780219780222
1995-07-01,17.46721020914569
1995-08-01,19.736086494151007
1995-09-01,21.88186813186813
1995-10-01,26.048741580999646
1995-11-01,46.43534798534799
1995-12-01,40.80432470755051
1996-01-01,38.83463310882666
1996-02-01,25.266957180750282
1996-03-01,22.343317972350224
1996-04-01,19.396855921855927
1996-05-01,13.614852889046439
1996-06-01,14.46153846153846
1996-07-01,16.281224152191893
1996-08-01,18.091397849462368
1996-09-01,17.4219696969697
1996-10-01,25.6252688172043
1996-11-01,35.48845765345766
1996-12-01,36.050661703887506
1997-01-01,27.974152191894117
1997-02-01,28.89835164835165
1997-03-01,24.901571546732843
1997-04-01,15.784615384615384
1997-05-01,14.278742762613726
1997-06-01,10.061538461538458
1997-07-01,13.669881194074744
1997-08-01,15.741390330100009
1997-09-01,18.932051282051283
1997-10-01,24.155913978494624
1997-11-01,38.59147241647242
1997-12-01,37.33250620347394
1998-01-01,34.04218362282878
1998-02-01,19.219717782217778
1998-03-01,17.687344913151367
1998-04-01,17.753846153846155
1998-05-01,13.109181141439205
1998-06-01,12.02457264957265
1998-07-01,15.959771411384317
1998-08-01,17.952853598014894
1998-09-01,14.997222222222224
1998-10-01,25.818238213399503
1998-11-01,37.74358974358975
1998-12-01,36.748345740281216
1999-01-01,34.96526054590571
1999-02-01,25.134615384615387
1999-03-01,18.141439205955333
1999-04-01,14.720512820512822
1999-05-01,11.062034739454093
1999-06-01,11.96153846153846
1999-07-01,12.657568238213399
1999-08-01,14.133995037220844
1999-09-01,15.071794871794873
1999-10-01,28.300248138957812
1999-11-01,30.32564102564102
1999-12-01,36.307692307692314
2000-01-01,29.24813895781638
2000-02-01,18.62068965517241
2000-03-01,15.858560794044667
2000-04-01,13.020512820512824
2000-05-01,11.037220843672458
2000-06-01,10.094871794871795
2000-07-01,11.047146401985112
2000-08-01,13.431761786600495
2000-09-01,14.769230769230772
2000-10-01,15.761786600496277
2000-11-01,26.664102564102564
2000-12-01,35.28535980148884
2001-01-01,27.962779156327542
2001-02-01,19.114239926739923
2001-03-01,13.744239631336406
2001-04-01,11.49761904761905
2001-05-01,10.632234432234432
2001-06-01,9.294126984126986
2001-07-01,8.574039938556066
2001-08-01,10.933333333333332
2001-09-01,13.124920634920635
2001-10-01,16.964516129032262
2001-11-01,23.05031746031746
2001-12-01,27.596313364055295
2002-01-01,25.1826420890937
2002-02-01,24.2452380952381
2002-03-01,13.559907834101383
2002-04-01,9.246666666666668
2002-05-01,7.866666666666666
2002-06-01,7.51190476190476
2002-07-01,7.958525345622122
2002-08-01,10.228258300838945
2002-09-01,13.974358974358976
2002-10-01,14.496277915632753
2002-11-01,23.443589743589737
2002-12-01,22.704714640198514
2003-01-01,24.268610421836232
2003-02-01,14.774725274725276
2003-03-01,13.094292803970223
2003-04-01,8.566666666666665
2003-05-01,9.315136476426797
2003-06-01,7.192307692307691
2003-07-01,8.803970223325065
2003-08-01,9.965880893300247
2003-09-01,10.876923076923076
2003-10-01,17.798593879239043
2003-11-01,18.04252136752137
2003-12-01,23.042183622828787
2004-01-01,20.945409429280392
2004-02-01,15.213085764809898
2004-03-01,12.857150913602524
2004-04-01,8.830089355089358
2004-05-01,7.595740281224151
2004-06-01,5.5666666666666655
2004-07-01,6.4044665012406945
2004-08-01,6.69044665012407
2004-09-01,9.543589743589743
2004-10-01,10.819478908188584
2004-11-01,16.223076923076924
2004-12-01,17.80293631100083
2005-01-01,14.8221670802316
2005-02-01,10.156593406593405
2005-03-01,8.543424317617864
2005-04-01,8.226068376068376
2005-05-01,6.400537634408602
2005-06-01,5.6000000000000005
