ds,y
2013-02-01,92.43071428571429
2013-03-01,94.0245
2013-04-01,92.49636363636364
2013-05-01,96.43136363636363
2013-06-01,98.60000000000001
2013-07-01,102.27545454545456
2013-08-01,100.72772727272726
2013-09-01,104.8425
2013-10-01,103.47130434782608
2013-11-01,100.27300000000001
2013-12-01,98.38952380952378
2014-01-01,103.5004761904762
2014-02-01,110.50210526315789
2014-03-01,111.39047619047618
2014-04-01,109.14904761904762
2014-05-01,101.58190476190475
2014-06-01,104.79714285714287
2014-07-01,103.94772727272726
2014-08-01,103.50523809523808
2014-09-01,101.9233333333333
2014-10-01,101.54
2014-11-01,113.71368421052631
2014-12-01,114.3272727272727
2015-01-01,115.7885
2015-02-01,119.77684210526314
2015-03-01,122.04499999999999
2015-04-01,124.57047619047619
2015-05-01,131.08549999999997
2015-06-01,133.51818181818183
2015-07-01,130.32136363636363
2015-08-01,127.85666666666668
2015-09-01,121.09571428571428
2015-10-01,121.92636363636365
2015-11-01,132.07
2015-12-01,131.8140909090909
2016-01-01,125.69578947368423
2016-02-01,119.28950000000002
2016-03-01,128.88363636363636
2016-04-01,134.01857142857142
2016-05-01,134.77952380952382
2016-06-01,136.945
2016-07-01,148.9365
2016-08-01,158.53347826086957
2016-09-01,156.12333333333333
2016-10-01,152.83619047619047
2016-11-01,138.71761904761905
2016-12-01,136.59523809523807
2017-01-01,140.61700000000002
2017-02-01,150.98842105263157
2017-03-01,155.58695652173918
2017-04-01,159.8594736842105
2017-05-01,175.1440909090909
2017-06-01,184.38863636363638
2017-07-01,180.8675
2017-08-01,179.22478260869565
2017-09-01,184.19700000000003
2017-10-01,187.14340909090907
2017-11-01,196.73142857142855
2017-12-01,195.8245
2018-01-01,209.29285714285712
2018-02-01,207.564
